"VendorCode","VendorName","2020-10","2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08"
"ST0006A","(08499) David Worland","","2","","","","","","1","","",""
"ST0007A","(08557) Taani Fjellstad","","1","","","","","","","","",""
"ST0008A","(08669) Jared Cambell-Crocker","1","1","","","","","","1","","",""
"ST0009A","(08552) Christopher Finley","","1","","","","","","","","",""
"ST0010A","(01130) Lorraine Tighe","","2","","","","","","1","","",""
"ST0011A","(08546) Ashley Cook","","1","","","","","","","","",""
"ST0012A","(60002) Mark Penklis","","","4","1","","","","5","","",""
"ST0013A","(60007) Colin Watson","","","2","","","2","","","","",""
"ST0014A","(60029) Christopher Bibes","","","1","","","","","","","",""
"ST0015A","(06121) MICHAEL BRADLEY","","","1","","","","","","","",""
"ST0016A","(60013) John Veitch","","","1","2","","","","","","",""
"ST0017A","(60045) Grant Bainbridge","","","","1","","","","","","",""
"ST0018A","(60014) Ben Worsley","","","","2","","1","","","","",""
"ST0019A","(60064) David Steinhardt","","","","2","","1","","","","",""
"ST0020A","(60020) Emilly Ballinger","","","","1","2","","","","","",""
"ST0021A","(60042) Piers Gardiner","","","","1","","","","","","",""
"ST0022A","(60063) Stuart Gardner","","","","1","1","1","","","","",""
"ST0023A","(60076) THOMAS LINEHAN","","","","1","","","","","","",""
"ST0024A","(60003)  Jessica Rennison","","","","36","1","","","5","","",""
"ST0025A","(60051) Philip Bunder","","","","1","1","","","","1","",""
"ST0026A","(60056) MARKUS SCHLAEPPI","","","","","1","","","1","","",""
"ST0027A","(60110)  Andy Kookaew","","","","","2","","","","","",""
"ST0028A","(60101) Rowan Lilley","","","","","1","","","","","",""
"ST0029A","(60105) Deanna Youssef","","","","","1","","","","","",""
"ST0030A","(60031) James Goates","","","","","1","","","","","",""
"ST0031A","(60068) Thiva Kulasingam","","","","","1","","","1","","",""
"ST0032A","(60054) Matthew Sheehy","","","","","1","","","","","",""
"ST0033A","(60016) Nikki Armstrong","","","","","1","","","","","",""
"ST0034A","(60074) Jaspreet Dharni","","","","","","2","","","","",""
"ST0035A","(60070) Matthew Reading","","","","","","1","","","","",""
"ST0036A","(60164) Jason Sedlock","","","","","","2","","","","",""
"ST0037A","(60174) Simon Rifkin","","","","","","1","","","","",""
"ST0038A","(60071) Anthony Bradshaw","","","","","","1","","","","",""
"ST0039A","(60163) Haydn Williams","","","","","","1","","","","",""
"ST0040A","(60152) Damian Webb","","","","","","3","","","","",""
"ST0041A","(60161) Julia Polgoui","","","","","","1","1","","","",""
"ST0042A","(60091) Stefano Caraco","","","","","","","1","","","",""
"ST0043A","(60078) Jeremy De Souza","","","","","","","1","","","",""
"ST0044A","(60089) Daniel Best","","","","","","1","","","","",""
"ST0045A","(60015) Michael Magee","","","","","","1","","","1","1",""
"ST0046A","(60157) Adam Glanville","","","","","","1","","","","",""
"ST0047A","(60069) Alexander Phillips","","","","","","","1","","","",""
"ST0048A","(60147) Ashley Jasper","","","","","","","1","","","",""
"ST0049A","(60018) Snowy Loke","","","","","","","2","1","","",""
"ST0050A","(08671) Thomas Dynan","","","","","","","1","","","",""
"ST0051A","(60151) MATTHEW REBELLATO","","","","","","","","1","","",""
"ST0052A","(60043) Andrew Peters","","","","","","","","1","","",""
"ST0053A","(60072) MARK COX","","","","","","","","2","","",""
"ST0054A","(60106) Robbie Alcaro","","","","","","","","1","","",""
"ST0055A","(06040) LYNETTE SWINBOURNE","","","","","","","","1","","",""
"ST0056A","(60190) Jennifer Jones","","","","","","","","1","","",""
"ST0057A","(60259) Loren Chibnall","","","","","","","","1","","",""
"ST0058A","(07681) Lydia Wijayanti","","","","","","","","1","","",""
"ST0059A","(60173) Phoebe Chapman","","","","","","","","1","","",""
"ST0060A","(60053) Luke Newton","","","","","","","","1","","",""
"ST0061A","(60248) Mihai Maraloi","","","","","","","","1","","",""
"ST0062A","(60079) Chantaine Barrett","","","","","","","","1","","1",""
"ST0063A","(08731) STEPHEN RENNIE","","","","","","","","1","","",""
"ST0064A","(60012) Alex McIntosh","","","","","","","","1","","",""
"ST0065A","(07508) DEANNE AGGS","","","","","","","","1","","",""
"ST0066A","(60004) Cindy Douran","","","","","","","","1","1","",""
"ST0067A","(60058) Andrew Tait","","","","","","","","1","","",""
"ST0068A","(60246) David Nurse","","","","","","","","","3","",""
"ST0069A","(60193) James Pai","","","","","","","","","1","",""
"ST0070A","(60195) Delini Silva","","","","","","","","","1","",""
"ST0071A","(08645) Dale Hall","","","","","","","","","1","",""
"ST0072A","(06120) Katie Stephens","","","","","","","","","1","",""
"ST0073A","(60228) Chris Duncan","","","","","","","","","","1",""
"T00003U","Trade-Air UK","","","","1","","","","","","",""
"T00004A","The Kingsford Brisbane Airport t/a GCC Hotel Group Pty Ltd","","","","22","20","9","5","8","18","3",""
"T00005E","TCR International","","","","","2","","","","","",""
"T00006U","TP Aerospace Technics Pty Ltd","","","","1","1","1","8","3","7","2",""
"T00007A","Toll Aviation Pty Ltd","","","","1","","","","","","",""
"T00008A","The Decor Corporation Pty. Ltd","","","","","1","","1","","","",""
"T00009A","Taylor Hardyman Group Pty Ltd","","","","","","1","1","1","","",""
"T00010A","The Ramada Hotel & Suites Ballina Byron","","","","","","1","","","","",""
"T00011A","TEMPTATION BAKERIES PTY LTD","","","","","","","","1","","",""
"U00001A","UPS SCS (Australia) Pty Ltd / UPS Supply Chain Solutions","","","","","","","","5","23","3",""
"V00001A","VIVA Energy Australia Pty Ltd (DD)","","","","","1","5","4","4","4","2",""
"W00001A","WESTPAC AUSTRALIA'S FIRST BANK","","","","","","","2","3","3","",""
"W00002A","WIRETAINERS PTY LTD","","","2","1","2","1","1","1","1","",""
"W00003U","WUXI LANJIE AVIATION KITCHEN EQUIPMENT CO., LTD","","","","1","3","","1","","1","",""
"W00004A","WorkCover Queesland","","","1","","","","","","","",""
"W00006A","Musical Combat Pty Ltd ( t/aWorld Combat Taekwondo)","","","","","1","","","","5","2",""
"W00007U","Werner Aero Services","","","","","","1","","","1","",""
"W00008A","Wood & Wood Sign Systems Pty Ltd","","","","","","1","","1","","",""
"W00009A","Webjet Limited","","","","","","","","","2","",""
"Z00001U","Zhejiang Seeway Protection Technology Co., Ltd","","","","1","","","","","","",""
